,Date,Site,Treatment,Species,Reporting_units,Mean_flux,sd,se,Crop
37,5/9/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,1.586254069,0.472148799,0.272595236,Iceberg
38,5/10/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,1.718337026,0.394995787,0.161256355,Iceberg
39,5/11/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,1.048410235,0.779232778,0.449890254,Iceberg
40,5/14/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,1.046292422,0.311885917,0.127326893,Iceberg
41,5/17/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,1.243208696,0.145459958,0.083981346,Iceberg
42,5/18/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,2.941436582,1.995581907,1.152149751,Iceberg
43,5/20/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,1.212663781,0.36417866,0.210258647,Iceberg
44,5/21/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,0.551188073,0.024131465,0.017063522,Iceberg
45,5/23/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,1.38195167,1.535671382,0.767835691,Iceberg
46,5/24/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,1.290626731,1.353101417,0.60512535,Iceberg
47,5/25/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,0.220609559,0.10514565,0.052572825,Iceberg
48,5/26/2024,HF,Cover Crop + CPS N + Compost,N2O,mg N2O-N m^-2 d^-1,0.386785272,0.051257969,0.036244857,Iceberg
49,3/27/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,1.936324698,1.706101316,0.696512946,Iceberg
50,4/3/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,1.359962145,0.372041424,0.151885275,Iceberg
51,4/6/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,1.147638527,0.250264625,0.102170105,Iceberg
52,4/11/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,2.174541271,1.317712532,0.537953888,Iceberg
53,4/15/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,1.105263048,0.17234602,0.099504021,Iceberg
54,4/17/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,1.798175897,1.003948289,0.409860173,Iceberg
55,4/25/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,1.977828489,0.511279825,0.208729114,Iceberg
56,4/26/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,2.207399087,0.263473954,0.152116759,Iceberg
57,4/29/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,2.110968539,0.643230164,0.262597615,Iceberg
58,5/1/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,3.088250757,1.481730914,0.604914112,Iceberg
59,5/7/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,0.99938402,0.964578837,0.393787661,Iceberg
60,5/8/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,1.483921793,1.186562371,0.685062104,Iceberg
61,5/9/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,2.973634088,0.861066756,0.497137123,Iceberg
62,5/10/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,3.329066829,0.651370057,0.265920712,Iceberg
63,5/11/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,4.738371044,0.77825721,0.44932701,Iceberg
64,5/14/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,2.708576772,0.816526436,0.333345522,Iceberg
65,5/17/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,3.25607329,0.37489657,0.265091907,Iceberg
66,5/18/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,2.567800799,0.473488613,0.273368778,Iceberg
67,5/20/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,2.56459423,0.996932023,0.575578972,Iceberg
68,5/21/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,3.93609933,NA,NA,Iceberg
69,5/23/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,4.187496733,1.263010686,0.515621954,Iceberg
70,5/24/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,1.817247544,0.886144273,0.361766885,Iceberg
71,5/25/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,1.074212602,0.321169624,0.13111695,Iceberg
72,5/26/2024,HF,Cover Crop + CPS N,CO2,g CO2-C m^-2 d^-1,2.358810007,0.285162072,0.164638399,Iceberg
73,3/27/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,0.568570275,0.424655288,0.173364796,Iceberg
74,4/3/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,0.27403694,0.102098071,0.041681363,Iceberg
75,4/6/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,0.206976894,0.070003485,0.028578803,Iceberg
76,4/11/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,0.332682208,0.131083116,0.053514458,Iceberg
77,4/15/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,0.253758375,0.086604487,0.050001124,Iceberg
78,4/17/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,0.279785289,0.134746072,0.055009854,Iceberg
79,4/25/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,4.224843386,2.308035038,0.942251359,Iceberg
80,4/26/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,3.094766246,0.630770749,0.364175661,Iceberg
81,4/29/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,1.907939785,0.705512713,0.288024359,Iceberg
82,5/1/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,1.206241765,0.247367185,0.10098723,Iceberg
83,5/7/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,0.973185516,0.670601778,0.273772029,Iceberg
84,5/8/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,1.105538746,1.070615366,0.61812007,Iceberg
85,5/9/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,0.897581607,0.561924714,0.324427385,Iceberg
86,5/10/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,1.133590693,0.511348265,0.208757055,Iceberg
87,5/11/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,1.315690343,0.455174324,0.262795019,Iceberg
88,5/14/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,0.694219115,0.337786306,0.137900682,Iceberg
89,5/17/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,0.554225622,0.332757493,0.23529508,Iceberg
90,5/18/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,2.293337385,0.451238675,0.260522771,Iceberg
91,5/20/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,0.722428384,0.261388879,0.15091294,Iceberg
92,5/21/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,0.787657026,NA,NA,Iceberg
93,5/23/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,0.923273705,0.30009412,0.122512912,Iceberg
94,5/24/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,0.90391165,1.138044748,0.508949083,Iceberg
95,5/25/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,0.159554017,0.147933645,0.060393658,Iceberg
96,5/26/2024,HF,Cover Crop + CPS N,N2O,mg N2O-N m^-2 d^-1,0.302125191,0.096383601,0.055647098,Iceberg
97,3/27/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,2.477114056,1.509515853,0.616257266,Iceberg
98,4/3/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,1.503375668,0.61860095,0.25254278,Iceberg
99,4/6/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,1.373072064,0.372873271,0.152224875,Iceberg
100,4/11/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,1.869528103,0.853380865,0.348391279,Iceberg
101,4/15/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,1.5875455,0.979766828,0.565668642,Iceberg
102,4/17/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,1.951755661,0.810624615,0.330936113,Iceberg
103,4/25/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,3.389028279,1.584825165,0.647002164,Iceberg
104,4/26/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,2.875859688,1.397190277,0.806668182,Iceberg
105,4/29/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,3.372944934,1.439193771,0.643627021,Iceberg
106,5/1/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,2.685691488,1.055509912,0.430910117,Iceberg
107,5/7/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,2.312799033,0.499166268,0.203783776,Iceberg
108,5/8/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,2.971850932,0.060397598,0.042707551,Iceberg
109,5/9/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,2.738632732,0.082587166,0.058397945,Iceberg
110,5/10/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,3.177418963,1.401781097,0.572274736,Iceberg
111,5/11/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,6.844837588,4.989494593,2.880686046,Iceberg
112,5/14/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,3.26533671,1.832832956,0.748250921,Iceberg
113,5/17/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,4.521344805,NA,NA,Iceberg
114,5/18/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,2.584791807,0.150974269,0.087165035,Iceberg
115,5/20/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,3.177249468,0.642540691,0.370971041,Iceberg
116,5/21/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,3.253484167,0.028588147,0.020214873,Iceberg
117,5/23/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,3.851114884,2.111168476,1.055584238,Iceberg
118,5/24/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,2.420846905,2.347840313,0.958501794,Iceberg
119,5/25/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,1.001919526,0.750120792,0.306235531,Iceberg
120,5/26/2024,HF,Cover Crop + GS N + Compost,CO2,g CO2-C m^-2 d^-1,2.001922722,0.65705643,0.379351707,Iceberg
121,3/27/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,0.422792127,0.283464829,0.115724032,Iceberg
122,4/3/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,0.245779263,0.069669993,0.028442656,Iceberg
123,4/6/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,0.167863912,0.06900584,0.028171516,Iceberg
124,4/11/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,0.188767736,0.067227606,0.027445555,Iceberg
125,4/15/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,0.268014283,0.204403948,0.118012674,Iceberg
126,4/17/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,0.205698138,0.088729733,0.036223762,Iceberg
127,4/25/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,6.994753248,5.57021512,2.2740308,Iceberg
128,4/26/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,4.405882113,3.28697777,1.8977375,Iceberg
129,4/29/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,3.085259081,1.305867284,0.584001603,Iceberg
130,5/1/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,1.508128954,0.510460483,0.20839462,Iceberg
131,5/7/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,2.562799848,0.517696709,0.211348797,Iceberg
132,5/8/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,2.306141077,0.7737814,0.547146075,Iceberg
133,5/9/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,1.599541833,0.191579868,0.135467424,Iceberg
134,5/10/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,1.942663851,1.426895515,0.582527655,Iceberg
135,5/11/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,1.950695405,1.083332944,0.625462567,Iceberg
136,5/14/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,1.431012322,0.884787102,0.361212822,Iceberg
137,5/17/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,1.709692315,NA,NA,Iceberg
138,5/18/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,3.640774753,0.913184689,0.527227426,Iceberg
139,5/20/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,2.1700847,1.282092137,0.74021624,Iceberg
140,5/21/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,1.589073786,0.113862861,0.080513201,Iceberg
141,5/23/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,1.091466383,0.315368075,0.157684038,Iceberg
142,5/24/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,1.233762846,1.236671169,0.55305616,Iceberg
143,5/25/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,0.271786007,0.138483402,0.056535612,Iceberg
144,5/26/2024,HF,Cover Crop + GS N + Compost,N2O,mg N2O-N m^-2 d^-1,0.115483337,0.354180102,0.204485977,Iceberg
145,3/27/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,1.672922552,1.052122372,0.42952716,Iceberg
146,4/3/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,1.342978054,0.31176555,0.127277753,Iceberg
147,4/6/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,1.280102328,0.195707538,0.079897268,Iceberg
148,4/11/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,1.906190909,0.64683149,0.26406785,Iceberg
149,4/15/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,1.161054575,0.415787294,0.240054906,Iceberg
150,4/17/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,1.699351665,0.388008304,0.158403727,Iceberg
151,4/25/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,2.580192958,1.212023654,0.494806585,Iceberg
152,4/26/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,2.256867413,1.048987374,0.605633143,Iceberg
153,4/29/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,3.544897955,2.348754113,0.958874851,Iceberg
154,5/1/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,3.624228533,1.08502929,0.442961353,Iceberg
155,5/7/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,1.091428451,1.201648348,0.490570884,Iceberg
156,5/8/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,1.622720901,0.783643209,0.452436618,Iceberg
157,5/9/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,2.114290987,0.308638925,0.178192767,Iceberg
158,5/10/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,3.061593345,0.944521048,0.385599103,Iceberg
159,5/11/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,4.417150349,1.546684143,0.892978506,Iceberg
160,5/14/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,2.680037619,0.791555449,0.323151159,Iceberg
161,5/17/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,7.17002239,NA,NA,Iceberg
162,5/18/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,2.358021336,0.557237305,0.321721108,Iceberg
163,5/20/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,2.508591699,1.741812214,1.00563575,Iceberg
164,5/21/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,2.989922904,0.519385587,0.367261071,Iceberg
165,5/23/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,4.311219434,1.973306832,1.139289231,Iceberg
166,5/24/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,1.712805763,0.558760182,0.24988515,Iceberg
167,5/25/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,1.108343706,1.001795938,0.448016763,Iceberg
168,5/26/2024,HF,Cover Crop + GS N,CO2,g CO2-C m^-2 d^-1,2.592204619,0.798897145,0.461243482,Iceberg
169,3/27/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,0.363497396,0.233794564,0.095446231,Iceberg
170,4/3/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,0.216327543,0.120689091,0.049271115,Iceberg
171,4/6/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,0.197836009,0.128741586,0.052558532,Iceberg
172,4/11/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,0.247933381,0.089606044,0.036581514,Iceberg
173,4/15/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,0.18564144,0.103782866,0.059919066,Iceberg
174,4/17/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,0.247348461,0.077195831,0.031515066,Iceberg
175,4/25/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,5.423017292,2.997874781,1.223877254,Iceberg
176,4/26/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,4.316812947,1.159623293,0.66950882,Iceberg
177,4/29/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,3.306987249,1.401285252,0.572072309,Iceberg
178,5/1/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,1.601264321,0.287830346,0.117506247,Iceberg
179,5/7/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,1.708736273,2.00351874,0.8179331,Iceberg
180,5/8/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,1.146313707,0.240166641,0.138660275,Iceberg
181,5/9/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,0.966707025,0.198619183,0.114672839,Iceberg
182,5/10/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,1.603309523,0.646569074,0.263960719,Iceberg
183,5/11/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,1.8340745,0.551948297,0.318667498,Iceberg
184,5/14/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,0.932511404,0.249647569,0.101918193,Iceberg
185,5/17/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,1.08867692,NA,NA,Iceberg
186,5/18/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,2.456421091,0.91398877,0.527691663,Iceberg
187,5/20/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,1.147951482,0.602958328,0.348118153,Iceberg
188,5/21/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,0.851929626,0.30154062,0.213221417,Iceberg
189,5/23/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,1.151872462,0.653198213,0.377124164,Iceberg
190,5/24/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,0.889178932,0.523455785,0.261727892,Iceberg
191,5/25/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,0.153992842,0.069582791,0.03111837,Iceberg
192,5/26/2024,HF,Cover Crop + GS N,N2O,mg N2O-N m^-2 d^-1,0.369806462,0.227717739,0.131472898,Iceberg
193,3/27/2024,HF,CPS N + Compost,CO2,g CO2-C m^-2 d^-1,1.356885292,0.619209684,0.252791295,Iceberg
194,4/3/2024,HF,CPS N + Compost,CO2,g CO2-C m^-2 d^-1,1.159741854,0.380744874,0.155438444,Iceberg
195,4/6/2024,HF,CPS N + Compost,CO2,g CO2-C m^-2 d^-1,1.212702123,0.316879004,0.129365312,Iceberg
196,4/11/2024,HF,CPS N + Compost,CO2,g CO2-C m^-2 d^-1,1.73675852,0.361184606,0.161526666,Iceberg
197,4/15/2024,HF,CPS N + Compost,CO2,g CO2-C m^-2 d^-1,1.097954009,0.241553178,0.139460793,Iceberg
198,4/17/2024,HF,CPS N + Compost,CO2,g CO2-C m^-2 d^-1,1.586087152,0.339505313,0.151831392,Iceberg
199,4/25/2024,HF,CPS N + Compost,CO2,g CO2-C m^-2 d^-1,2.928896056,2.126058664,0.867959815,Iceberg
200,4/26/2024,HF,CPS N + Compost,CO2,g CO2-C m^-2 d^-1,1.855918346,1.142031342,0.659352103,Iceberg
